Feature,Current_Value,Optimal_Value,Percentage_Change
total_baskets,110.5936,127.18263999999999,14.999999999999991
total_items,104274.2488,159368.61109529834,52.83601937135063
total_spend,3222.9852319999995,3213.4918009364496,-0.2945539734185765
total_retail_discount,-559.333936,-1566.1350208000001,180.00000000000003
total_coupon_discount,-17.044616,-30.6803088,79.99999999999999
total_coupon_match_discount,-3.030324,-3.0303239999999994,-1.1102230246251565e-14
unique_stores_visited,5.4648,5.487753483256962,0.42002421418829705
top_dept_spend,1650.29628,2319.656983975798,40.56003228558438
campaigns_participated,2.8832,2.8832,0.0
coupons_redeemed,0.8916,0.8916000000000001,2.220446049250313e-14
basket_frequency,0.17520410567929642,0.19272451624722606,9.999999999999986
